2017-12-06|AALI|Astra Agro Lestari Tbk.|13600
2017-12-06|ACES|Ace Hardware Indonesia Tbk.|1125
2017-12-06|ACST|Acset Indonusa Tbk.|2790
2017-12-06|ADES|Akasha Wira International Tbk.|940
2017-12-06|ADHI|Adhi Karya (Persero) Tbk.|1850
2017-12-06|ADMF|Adira Dinamika Multi Finance Tbk.|7100
2017-12-06|ADMG|Polychem Indonesia Tbk|232
2017-12-06|ADRO|Adaro Energy Tbk.|1780
2017-12-06|AGII|Aneka Gas Industri Tbk.|570
2017-12-06|AGRO|Bank Rakyat Indonesia Agroniaga Tbk.|520
2017-12-06|AGRO-W|Waran Seri II Bank Rakyat Indonesia Agro|382
2017-12-06|AGRS|Bank Agris Tbk.|252
2017-12-06|AHAP|Asuransi Harta Aman Pratama Tbk.|162
2017-12-06|AIMS|Akbar Indo Makmur Stimec Tbk|238
2017-12-06|AISA|Tiga Pilar Sejahtera Food Tbk.|500
2017-12-06|AKKU|Anugerah Kagum Karya Utama Tbk.|52
2017-12-06|AKRA|AKR Corporindo Tbk.|6150
2017-12-06|AKSI|Majapahit Inti Corpora Tbk.|310
2017-12-06|ALKA|Alakasa Industrindo Tbk|406
2017-12-06|ALMI|Alumindo Light Metal Industry Tbk.|232
2017-12-06|ALTO|Tri Banyan Tirta Tbk.|388
2017-12-06|AMAG|Asuransi Multi Artha Guna Tbk.|352
2017-12-06|AMFG|Asahimas Flat Glass Tbk.|6400
2017-12-06|AMIN|Ateliers Mecaniques D Indonesie Tbk.|420
2017-12-06|ANJT|Austindo Nusantara Jaya Tbk.|1130
2017-12-06|ANTM|Aneka Tambang (Persero) Tbk.|630
2017-12-06|APEX|Apexindo Pratama Duta Tbk.|1780
2017-12-06|APIC|Pacific Strategic Financial Tbk.|454
2017-12-06|APIC-W|Waran Seri II Pacific Strategic Financia|312
2017-12-06|APII|Arita Prima Indonesia Tbk.|212
2017-12-06|APLI|Asiaplast Industries Tbk.|75
2017-12-06|APLN|Agung Podomoro Land Tbk.|210
2017-12-06|ARII|Atlas Resources Tbk.|810
2017-12-06|ARMY|Armidian Karyatama Tbk.|172
2017-12-06|ARNA|Arwana Citramulia Tbk.|346
2017-12-06|ARTA|Arthavest Tbk|260
2017-12-06|ARTI|Ratu Prabu Energi Tbk|50
2017-12-06|ARTO|Bank Artos Indonesia Tbk.|170
2017-12-06|ASBI|Asuransi Bintang Tbk.|298
2017-12-06|ASDM|Asuransi Dayin Mitra Tbk.|1080
2017-12-06|ASGR|Astra Graphia Tbk.|1270
2017-12-06|ASII|Astra International Tbk.|8150
2017-12-06|ASJT|Asuransi Jasa Tania Tbk.|515
2017-12-06|ASMI|Asuransi Kresna Mitra Tbk.|865
2017-12-06|ASRI|Alam Sutera Realty Tbk.|350
2017-12-06|ASRM|Asuransi Ramayana Tbk.|2300
2017-12-06|ASSA|Adi Sarana Armada Tbk.|212
2017-12-06|AUTO|Astra Otoparts Tbk.|2300
2017-12-06|BABP|Bank MNC Internasional Tbk.|50
2017-12-06|BACA|Bank Capital Indonesia Tbk.|210
2017-12-06|BAJA|Saranacentral Bajatama Tbk.|155
2017-12-06|BALI|Bali Towerindo Sentra Tbk.|1355
2017-12-06|BAPA|Bekasi Asri Pemula Tbk.|96
2017-12-06|BATA|Sepatu Bata Tbk.|520
2017-12-06|BAYU|Bayu Buana Tbk|1255
2017-12-06|BBCA|Bank Central Asia Tbk.|21150
2017-12-06|BBHI|Bank Harda Internasional Tbk.|120
2017-12-06|BBKP|Bank Bukopin Tbk.|580
2017-12-06|BBLD|Buana Finance Tbk.|560
2017-12-06|BBNI|Bank Negara Indonesia (Persero) Tbk.|8475
2017-12-06|BBRI|Bank Rakyat Indonesia (Persero) Tbk.|3350
2017-12-06|BBTN|Bank Tabungan Negara (Persero) Tbk.|3380
2017-12-06|BBYB|Bank Yudha Bhakti Tbk.|292
2017-12-06|BCIP|Bumi Citra Permai Tbk.|140
2017-12-06|BDMN|Bank Danamon Indonesia Tbk.|5200
2017-12-06|BEKS|Bank Pembangunan Daerah Banten Tbk.|50
2017-12-06|BELL|Trisula Textile Industries Tbk.|204
2017-12-06|BEST|Bekasi Fajar Industrial Estate Tbk.|252
2017-12-06|BFIN|BFI Finance  Indonesia Tbk.|685
2017-12-06|BGTG|Bank Ganesha Tbk.|93
2017-12-06|BHIT|MNC Investama Tbk.|92
2017-12-06|BIKA|Binakarya Jaya Abadi Tbk.|316
2017-12-06|BIMA|Primarindo Asia Infrastructure Tbk.|76
2017-12-06|BINA|Bank Ina Perdana Tbk.|970
2017-12-06|BIPI|Benakat Integra Tbk.|75
2017-12-06|BIPP|Bhuwanatala Indah Permai Tbk.|75
2017-12-06|BIPP-W|Waran Seri III Bhuwanatala Indah Permai|2
2017-12-06|BIRD|Blue Bird Tbk.|3600
2017-12-06|BISI|BISI International Tbk.|1690
2017-12-06|BJBR|Bank Pembangunan Daerah Jawa Barat dan B|2340
2017-12-06|BJTM|Bank Pembangunan Daerah Jawa Timur Tbk.|705
2017-12-06|BKDP|Bukit Darmo Property Tbk|76
2017-12-06|BKSL|Sentul City Tbk.|141
2017-12-06|BKSL-W|Waran Seri I Sentul City Tbk.|52
2017-12-06|BKSW|Bank QNB Indonesia Tbk.|202
2017-12-06|BMAS|Bank Maspion Indonesia Tbk.|328
2017-12-06|BMRI|Bank Mandiri (Persero) Tbk.|7500
2017-12-06|BMSR|Bintang Mitra Semestaraya Tbk|168
2017-12-06|BMTR|Global Mediacom Tbk.|560
2017-12-06|BNBA|Bank Bumi Arta Tbk.|264
2017-12-06|BNGA|Bank CIMB Niaga Tbk.|1195
2017-12-06|BNII|Bank Maybank Indonesia Tbk.|284
2017-12-06|BNLI|Bank Permata Tbk.|600
2017-12-06|BOGA|Bintang Oto Global Tbk.|625
2017-12-06|BOLT|Garuda Metalindo Tbk.|915
2017-12-06|BRAM|Indo Kordsa Tbk.|8075
2017-12-06|BRMS|Bumi Resources Minerals Tbk.|67
2017-12-06|BRPT|Barito Pacific Tbk.|2320
2017-12-06|BSDE|Bumi Serpong Damai Tbk.|1585
2017-12-06|BTEK|Bumi Teknokultura Unggul Tbk|90
2017-12-06|BTON|Betonjaya Manunggal Tbk.|113
2017-12-06|BTPN|Bank Tabungan Pensiunan Nasional Tbk.|2430
2017-12-06|BUDI|Budi Starch & Sweetener Tbk.|96
2017-12-06|BUKK|Bukaka Teknik Utama Tbk.|1475
2017-12-06|BULL|Buana Listya Tama Tbk.|153
2017-12-06|BULL-W|Waran Seri II Buana Listya Tama Tbk.|74
2017-12-06|BUMI|Bumi Resources Tbk.|278
2017-12-06|BUVA|Bukit Uluwatu Villa Tbk.|530
2017-12-06|BVIC|Bank Victoria International Tbk.|248
2017-12-06|BWPT|Eagle High Plantations Tbk.|204
2017-12-06|BYAN|Bayan Resources Tbk.|10800
2017-12-06|CANI|Capitol Nusantara Indonesia Tbk.|322
2017-12-06|CARS|Industri dan Perdagangan Bintraco Dharma|960
2017-12-06|CASA|Capital Financial Indonesia Tbk.|378
2017-12-06|CASS|Cardig Aero Services Tbk.|800
2017-12-06|CEKA|Wilmar Cahaya Indonesia Tbk.|1250
2017-12-06|CENT|Centratama Telekomunikasi Indonesia Tbk.|85
2017-12-06|CFIN|Clipan Finance Indonesia Tbk.|290
2017-12-06|CINT|Chitose Internasional Tbk.|334
2017-12-06|CKRA|Cakra Mineral Tbk.|77
2017-12-06|CLEO|Sariguna Primatirta Tbk.|835
2017-12-06|CLPI|Colorpak Indonesia Tbk.|890
2017-12-06|CMNP|Citra Marga Nusaphala Persada Tbk.|1490
2017-12-06|CMPP|Rimau Multi Putra Pratama Tbk.|296
2017-12-06|CNKO|Exploitasi Energi Indonesia Tbk.|50
2017-12-06|CNTX|Century Textile Industry Tbk.|474
2017-12-06|COWL|Cowell Development Tbk.|875
2017-12-06|CPIN|Charoen Pokphand Indonesia Tbk|2890
2017-12-06|CPRO|Central Proteina Prima Tbk.|50
2017-12-06|CSAP|Catur Sentosa Adiprana Tbk.|446
2017-12-06|CSIS|Cahayasakti Investindo Sukses Tbk.|840
2017-12-06|CTRA|Ciputra Development Tbk.|1180
2017-12-06|CTTH|Citatah Tbk.|95
2017-12-06|DART|Duta Anggada Realty Tbk.|320
2017-12-06|DAYA|Duta Intidaya Tbk.|190
2017-12-06|DEFI|Danasupra Erapacific Tbk|680
2017-12-06|DEWA|Darma Henwa Tbk|50
2017-12-06|DGIK|Nusa Konstruksi Enjiniring Tbk.|51
2017-12-06|DILD|Intiland Development Tbk.|376
2017-12-06|DKFT|Central Omega Resources Tbk.|400
2017-12-06|DLTA|Delta Djakarta Tbk.|4460
2017-12-06|DMAS|Puradelta Lestari Tbk.|172
2017-12-06|DNAR|Bank Dinar Indonesia Tbk.|270
2017-12-06|DNET|Indoritel Makmur Internasional Tbk.|2120
2017-12-06|DOID|Delta Dunia Makmur Tbk.|810
2017-12-06|DPNS|Duta Pertiwi Nusantara Tbk.|386
2017-12-06|DPUM|Dua Putra Utama Makmur Tbk.|284
2017-12-06|DSFI|Dharma Samudera Fishing Industries Tbk.|111
2017-12-06|DSNG|Dharma Satya Nusantara Tbk.|472
2017-12-06|DSSA|Dian Swastatika Sentosa Tbk|13900
2017-12-06|DVLA|Darya-Varia Laboratoria Tbk.|1910
2017-12-06|DYAN|Dyandra Media International Tbk.|57
2017-12-06|ECII|Electronic City Indonesia Tbk.|720
2017-12-06|EKAD|Ekadharma International Tbk.|685
2017-12-06|ELSA|Elnusa Tbk.|368
2017-12-06|ELTY|Bakrieland Development Tbk.|50
2017-12-06|EMDE|Megapolitan Developments Tbk.|270
2017-12-06|EMTK|Elang Mahkota Teknologi Tbk.|9900
2017-12-06|ENRG|Energi Mega Persada Tbk.|92
2017-12-06|ERAA|Erajaya Swasembada Tbk.|725
2017-12-06|ERTX|Eratex Djaja Tbk.|130
2017-12-06|ESSA|Surya Esa Perkasa Tbk.|192
2017-12-06|ESTI|Ever Shine Tex Tbk.|83
2017-12-06|EXCL|XL Axiata Tbk.|3010
2017-12-06|FASW|Fajar Surya Wisesa Tbk.|5275
2017-12-06|FINN|First Indo American Leasing Tbk.|145
2017-12-06|FIRE|Alfa Energi Investama Tbk.|1475
2017-12-06|FIRE-W|Waran Seri I Alfa Energi Investama Tbk.|575
2017-12-06|FMII|Fortune Mate Indonesia Tbk|540
2017-12-06|FORU|Fortune Indonesia Tbk|181
2017-12-06|FORZ|Forza Land Indonesia Tbk.|775
2017-12-06|FPNI|Lotte Chemical Titan Tbk.|171
2017-12-06|FREN|Smartfren Telecom Tbk.|50
2017-12-06|GAMA|Gading Development Tbk.|50
2017-12-06|GDST|Gunawan Dianjaya Steel Tbk.|83
2017-12-06|GEMA|Gema Grahasarana Tbk.|910
2017-12-06|GGRM|Gudang Garam Tbk.|80300
2017-12-06|GIAA|Garuda Indonesia (Persero) Tbk.|304
2017-12-06|GJTL|Gajah Tunggal Tbk.|705
2017-12-06|GMFI|Garuda Maintenance Facility Aero Asia Tb|332
2017-12-06|GOLD|Visi Telekomunikasi Infrastruktur Tbk.|382
2017-12-06|GOLL|Golden Plantation Tbk.|100
2017-12-06|GOLL-W|Waran Seri I Golden Plantation Tbk.|3
2017-12-06|GPRA|Perdana Gapuraprima Tbk.|127
2017-12-06|GSMF|Equity Development Investment Tbk.|118
2017-12-06|GWSA|Greenwood Sejahtera Tbk.|159
2017-12-06|GZCO|Gozco Plantations Tbk.|62
2017-12-06|HADE|HD Capital Tbk|50
2017-12-06|HDTX|Panasia Indo Resources Tbk.|500
2017-12-06|HERO|Hero Supermarket Tbk.|1005
2017-12-06|HEXA|Hexindo Adiperkasa Tbk.|3270
2017-12-06|HITS|Humpuss Intermoda Transportasi Tbk.|720
2017-12-06|HMSP|H.M. Sampoerna Tbk.|4390
2017-12-06|HOKI|Buyung Poetra Sembada Tbk.|348
2017-12-06|HOKI-W|Waran Seri I Buyung Poetra Sembada Tbk.|78
2017-12-06|HOME|Hotel Mandarine Regency Tbk.|92
2017-12-06|HOTL|Saraswati Griya Lestari Tbk.|106
2017-12-06|HOTL-W|Waran Seri I Saraswati Griya Lestari Tbk|5
2017-12-06|HRTA|Hartadinata Abadi Tbk.|290
2017-12-06|HRUM|Harum Energy Tbk.|1970
2017-12-06|ICBP|Indofood CBP Sukses Makmur Tbk.|8700
