1563,LQ45U7,LQ45 Futures 2017 September,
1562,BM10H8,BM10 Futures 2018 Maret,
1561,BM05H8,BM05 Futures 2018 Maret,
1560,MABA,Marga Abhinaya Abadi Tbk.,
1559,HOKI-W,Waran Seri I Buyung Poetra Sembada Tbk.,
1558,HOKI,Buyung Poetra Sembada Tbk.,
1557,SDRA-R,HMETD Bank Woori Saudara Indonesia 1906 Tbk.,
1556,MAPB,MAP Boga Adiperkasa Tbk.,
1555,WOOD,Integra Indocabinet Tbk.,
1554,HRTA,Hartadinata Abadi Tbk.,
1553,ARMY,Armidian Karyatama Tbk.,
1552,KMTR,Kirana Megatara Tbk.,
1551,TOPS,Totalindo Eka Persada Tbk.,
1550,XPLC,Reksa Dana Pinnacle Indonesia Large-Cap ETF,
1549,XPDV,Reksa Dana Pinnacle Core High Dividend ETF,
1548,FIRE-W,Waran Seri I Alfa Energi Investama Tbk.,
1547,FIRE,Alfa Energi Investama Tbk.,
1546,FINN,First Indo American Leasing Tbk.,
1544,INTA-W,Waran Seri I Intraco Penta Tbk.,
1543,LQ45Q7,LQ45 Futures 2017 Agustus,
1541,TGRA,Terregra Asia Energy Tbk.,
1539,TAMU,Pelayaran Tamarin Samudra Tbk.,
1538,CSIS,Cahayasakti Investindo Sukses Tbk.,
1537,BM10Z7,BM10 Futures 2017 Desember,
1536,BM10U7,BM10 Futures 2017 September,
1535,BM10M7,BM10 Futures 2017 Juni,
1534,BM05Z7,BM05 Futures 2017 Desember,
1533,BM05U7,BM05 Futures 2017 September,
1532,BM05M7,BM05 Futures 2017 Juni,
1531,BM10,Benchmark Bond 10,
1530,BM05,Benchmark Bond 05,
1529,CLEO,Sariguna Primatirta Tbk.,
1528,LQ45N7,LQ45 Futures 2017 Juli,
1527,FORZ-W,Waran Seri I Forza Land Indonesia Tbk.,
1526,MINA,Sanurhasta Mitra Tbk.,
1525,FORZ,Forza Land Indonesia Tbk.,
1523,CARS,Industri dan Perdagangan Bintraco Dharma Tbk.,
1521,BKSL-W,Waran Seri I Sentul City Tbk.,
1520,LQ45M7,LQ45 Futures 2017 Juni,
1517,PORT,Nusantara Pelabuhan Handal Tbk.,
1515,POOL-W,Waran Seri II Pool Advista Indonesia Tbk.,
1513,BULL-W,Waran Seri II Buana Listya Tama Tbk.,
1509,XISB,Reksa Dana Premier ETF Indonesia Sovereign Bonds,
1504,BOGA-W,Waran Seri I Bintang Oto Global Tbk.,
1503,BOGA,Bintang Oto Global Tbk.,
1502,AGRO-W,Waran Seri II Bank Rakyat Indonesia Agroniaga Tbk.,
1497,INPC-W,Waran Seri I Bank Artha Graha Internasional Tbk.,
1496,PRDA,Prodia Widyahusada Tbk.,
1485,APIC-W,Waran Seri II Pacific Strategic Financial Tbk.,
1482,BABP-W2,Waran Seri III Bank MNC Internasional Tbk.,
1480,AGII,Aneka Gas Industri Tbk.,
1478,PBSA,Paramita Bangun Sarana Tbk.,
1477,WSBP,Waskita Beton Precast Tbk.,
1475,INCF,Indo Komoditi Korpora Tbk.,
1472,XPLQ,Reksa Dana Pinnacle Enhanced Liquid ETF,
1468,CASA-W,Waran Seri I Capital Financial Indonesia Tbk.,
1467,CASA,Capital Financial Indonesia Tbk.,
1466,OASA,Protech Mitra Perkasa Tbk.,
1461,JGLE,Graha Andrasentra Propertindo Tbk.,
1460,DAYA,Duta Intidaya Tbk.,
1459,SHIP,Sillo Maritime Perdana Tbk.,
1456,POWR,Cikarang Listrindo Tbk.,
1449,BBYB-W,Waran Seri I Bank Yudha Bhakti Tbk.,
1447,BSIM-W3,Waran Seri III Bank Sinarmas Tbk.,
1446,BGTG,Bank Ganesha Tbk.,
1440,MARI,Mahaka Radio Integra Tbk.,
1439,MTRA,Mitra Pemuda Tbk.,
1435,ARTO,Bank Artos Indonesia Tbk.,
1433,BACA-W2,Waran Seri III Bank Capital Indonesia Tbk.,
1431,KINO,Kino Indonesia Tbk.,
1430,AMIN,Ateliers Mecaniques D Indonesie Tbk.,
1429,IDPR,Indonesia Pondasi Raya Tbk.,
1428,DPUM,Dua Putra Utama Makmur Tbk.,
1425,MKNT,Mitra Komunikasi Nusantara Tbk.,
1419,XISC,Reksa Dana Premier ETF Indonesia Stated-Owned Companies,
1418,VINS-W,Waran Seri I Victoria Insurance Tbk.,
1417,VINS,Victoria Insurance Tbk.,
